state,x,y
Punjab,-114.0, 156.0
Himachal Pradesh,-98.0, 170.0
Haryana,-106.0, 124.0
Uttaranchal,-68.0, 144.0
Uttar Pradesh,-59.0, 89.0
Rajasthan,-149.0, 85.0
Bihar,46.0, 62.0
West Bengal,60.0, 21.0
Jharkhand,31.0, 32.0
Madhya Pradesh,-98.0, 22.0
Gujarat,-178.0, 24.0
Maharashtra,-136.0, -40.0
Odisha,27.0, -28.0
Chhattisgarh,-22.0, -6.0
Telangana,-72.0, -69.0
Andhra Pradesh,-85.0, -110.0
Kerala,-112.0, -197.0
Tamil Nadu,-97.0, -188.0
Goa,-145.0, -112.0
Karnataka,-129.0, -127.0
Sikkim,79.0, 92.0
Assam,146.0, 78.0
Arunachal Pradesh,168.0, 111.0
Meghalaya,132.0, 61.0
Tripura,140.0, 30.0
Nagaland,190.0, 81.0
Mizoram,160.0, 22.0
Manipur,172.0, 54.0
